class,cap-diameter,cap-shape,cap-color,stem-width
e,1.42,x,n,2.36
p,4.24,b,n,5.59
p,2.56,x,e,2.64
e,6.71,x,y,13.66
p,13.23,x,y,22.42
e,8.81,x,n,19.2
p,3.74,o,w,32.59
e,10.34,f,y,25.63
p,2.83,o,g,0
e,10.3,f,w,13.62
e,3.27,s,y,7.16
p,2.87,x,w,6.35
p,2.94,o,g,0
p,10.98,s,k,25.63
e,13.21,x,n,23.1
p,5.9,s,y,5.04
p,3.6,o,g,0
p,12.13,x,o,22.47
p,1.61,p,n,2.46
p,5.97,x,e,9.6
e,10.48,x,n,17.18
p,6.01,f,n,8.21
e,4.77,x,n,12.13
e,0.82,p,w,1.5
p,3.21,f,u,4.09
p,4,x,e,7.16
p,6.69,f,n,7.68
p,3.52,c,w,3.55
p,3.38,o,g,0
e,12.96,p,w,17.7
p,5.08,f,n,10.11
p,6.27,x,g,20.18
e,5.44,f,w,13.05
p,3.29,b,g,2.41
e,6.15,s,n,7.24
p,4.95,x,y,14.6
p,6.15,x,y,13.99
p,2.28,x,n,2.48
e,6.21,x,y,12.17
p,0.62,x,o,0.66
p,3.94,o,w,0
e,7.91,x,w,8.92
p,2.38,f,n,3.58
p,8.85,x,n,33.05
p,0.71,f,o,1.02
p,6.48,c,w,14.11
p,5.01,c,y,11.65
p,1.96,p,n,2.65
p,4.73,b,r,8.15
p,3.05,b,k,2.57
e,8.7,x,n,13.51
p,3.7,b,p,3.5
e,16.85,p,n,19.27
p,6.42,x,n,18.86
e,1.49,x,y,2.13
p,3.66,b,n,4.05
p,0.67,x,y,0.71
p,2.44,f,o,6.03
p,2.02,b,w,3.23
p,14.84,x,e,18.18
e,4.09,x,y,9
e,10.2,x,y,23.87
p,0.61,x,n,0.8
p,9.08,x,r,15.67
e,6.8,s,y,15.69
p,1.49,o,n,1.55
e,3.21,x,w,5.51
p,2.89,b,n,5.15
p,3.96,o,y,0
p,3.36,b,n,4.47
e,6.85,f,n,14.65
p,2.88,o,k,15.34
e,7.07,x,y,15.85
e,18.64,x,n,34.01
e,6.22,x,y,12.07
e,3.87,x,n,7.06
e,10.59,s,p,17.34
e,4.51,x,n,10.17
e,4.38,x,y,10.21
p,4.01,b,n,4.73
e,7.27,x,n,12.77
p,3.83,x,b,5.9
p,0.9,x,w,1.16
p,4.12,f,n,4.27
p,5.13,f,y,7.52
p,3.39,f,w,8.11
e,1.02,b,w,1.52
p,5.05,c,w,12.18
e,10.72,p,w,12.29
e,4.53,f,w,12.27
p,7.01,f,n,6.22
p,4.82,x,y,8.35
p,8.23,x,n,10.93
e,3.19,s,y,7.92
e,4.6,x,y,3.72
p,5.46,s,y,6.33
p,3.65,o,w,0
e,3.63,x,n,10.22
p,3.4,f,w,3.61
e,3.38,f,n,5.87
p,3.5,x,e,5.07
p,6.32,f,n,10.11
e,10.94,x,n,20.98
p,2.86,b,p,5.67
e,13.26,x,g,28.81
p,3.3,c,u,3.6
e,5.89,f,w,21.92
p,12.03,x,g,17.76
e,14.02,x,n,24.03
e,21.51,x,n,34.72
p,1.69,p,n,2.2
p,16.1,x,y,18.05
p,2.44,p,n,2.6
e,9.66,p,n,17.8
e,8.97,s,w,17.7
p,8.08,f,n,10.59
p,3.16,o,g,0
e,8.71,x,n,18.11
e,0.72,f,n,1
p,8.37,o,n,25.08
e,2.6,b,n,3.2
e,5.79,x,b,13.5
p,2.6,f,o,6.93
p,0.89,b,y,2.38
p,14.07,f,o,17.76
p,3.61,s,n,5.85
p,4.14,f,b,3.62
e,3.38,b,n,2.18
p,1.55,p,n,2.29
p,4.69,f,g,8.51
p,3.21,b,n,5.23
e,10.52,x,y,23.6
p,11.47,x,n,31.23
e,11.72,s,o,17.99
p,4.98,s,o,6.24
p,6.64,x,g,13.06
e,11.51,f,y,21.74
e,14.9,x,n,26.91
p,13.63,x,g,18.64
p,8.16,b,w,12.73
p,8.79,s,y,12.61
p,1.04,b,y,2.47
p,3.48,b,n,3.48
e,8.68,f,w,29.03
e,48.86,o,y,18.73
p,22.1,x,w,37.3
e,14.51,x,n,17.12
p,2.86,f,w,3.5
p,12.91,o,n,27.34
p,8.06,x,g,19.63
p,3.11,x,n,8.18
p,2.42,c,y,2.72
e,6.01,x,g,9.14
e,9.86,x,n,14.42
e,2.69,x,n,9.81
e,0.9,f,e,0.91
p,4.41,x,y,7.88
e,8.65,f,o,13.95
e,4.89,x,n,5.77
e,7.03,b,g,10.3
e,3.46,b,n,3.19
e,8.67,f,b,16.85
p,2.39,x,e,2.29
p,0.78,x,o,1.03
e,14.94,x,n,16.54
e,4.74,x,w,9.12
e,9.2,x,n,21.55
p,2.91,x,w,4.02
e,8.24,s,w,9.75
e,10.26,x,n,11.01
p,7.71,f,r,12.11
e,8.72,x,n,13.29
p,6.48,s,n,11.13
e,4.02,x,n,9.95
e,10.29,x,e,26.58
p,8.89,b,w,12.33
p,4.66,c,y,8.24
p,1.62,b,n,1.88
e,2.65,s,n,3.78
e,5.07,c,n,19.56
p,7.42,x,n,34.57
p,9.16,x,n,12.23
p,8.45,x,w,13.14
e,3.47,f,w,6.82
p,1.01,b,y,2.34
p,3.56,x,n,5.77
p,3.41,o,k,16.46
p,1.21,x,y,2.36
p,11.04,x,n,26.19
e,8.46,x,w,14.19
p,2.73,o,g,13.32
p,8.31,s,o,12.8
p,6.89,x,e,13.29
e,3.38,f,w,6.66
p,3.08,b,u,5.31
e,6.33,x,n,9.32
e,8.87,x,n,10.49
e,9.59,s,y,21.65
p,3.3,s,w,2.6
e,16.5,p,w,19.97
e,7.64,x,n,26.38
p,6.14,c,w,11.56
e,0.85,f,e,0.98
p,9.8,f,n,12.77
e,1.13,p,g,1.68
p,4.24,x,y,7.36
p,7.41,s,o,11.74
p,3.48,x,w,2.66
p,8.31,x,w,16.45
p,7.2,f,r,14.71
p,3.05,o,g,0
p,7.45,x,n,25.85
p,6.59,f,e,18.12
p,1.58,x,n,1.45
p,7.1,f,u,13.76
p,10.64,x,n,33.58
e,10.84,x,n,25.03
e,17.21,s,n,22.24
p,4.47,x,l,7.54
p,4.15,b,n,5.48
p,2.91,p,n,2.94
e,5.3,x,n,6.73
p,6.89,f,e,16.87
p,2.81,b,r,5.99
p,11.17,x,n,31.38
e,9.1,x,n,11.01
p,3.58,s,u,6.49
e,11.68,f,b,15.13
e,3.69,x,n,10.17
p,9.96,s,p,15.64
p,13.7,x,n,29.69
e,9.48,f,b,20.36
e,5.63,x,n,8.67
p,4.82,b,n,4.7
p,8.35,x,n,21.37
p,14.6,s,n,38.7
e,5.99,f,n,8.94
p,5.8,p,n,12.46
p,2.83,f,u,3.64
e,11.69,x,n,18.37
e,6.96,x,e,10.74
e,6.54,f,k,15.69
e,7.51,x,n,12.6
e,5,s,n,48
p,6.7,x,n,6.45
e,16.09,x,g,26.51
p,9.97,f,w,12.6
p,8.16,s,r,13.32
p,8.25,f,e,7.72
p,6.55,x,n,10.62
e,9.42,f,k,15.63
p,9.47,x,n,31.62
p,8.52,x,y,8.3
p,4.5,f,p,7.11
e,10.52,f,w,12.66
p,5.75,f,e,17.76
e,8.26,f,o,12.78
p,6.11,x,n,8.58
e,10.88,s,n,22.16
e,1.26,c,n,1.38
e,2.57,f,n,3.53
p,7.77,p,n,31.1
p,0.8,x,p,1.12
p,2.81,b,k,2.67
e,8.01,x,n,9.77
p,1.91,b,w,2.93
p,7.53,b,n,17.21
p,7.53,f,e,16.89
p,4.38,f,u,7.87
p,3.99,f,e,3.77
p,2.91,o,g,0
p,6.35,f,g,9.77
p,2.19,f,y,3.19
p,1.17,x,y,5.58
p,2.95,f,o,6.1
p,4.63,f,e,4.87
p,8.39,b,w,13.37
p,8.07,x,y,8.28
p,7.74,p,w,16.67
p,7.04,x,n,6.76
p,9.79,s,r,13.72
p,7.15,x,n,14.91
e,11.24,f,r,26
e,10.48,f,n,18.93
p,3.82,f,e,3.52
p,2.09,b,w,3.09
e,6.54,x,n,16.84
p,0.8,x,p,1.03
p,12.95,f,g,17.32
p,1.78,f,y,3.31
p,3.49,x,e,6.48
p,5.96,x,w,13.62
e,5.09,x,o,6.58
p,4.91,f,y,5.59
p,7.39,x,n,7.74
p,11.49,o,e,25.22
e,6.06,c,n,12.15
e,8.74,f,n,15.99
p,3.14,o,g,0
e,1.54,f,g,2.53
e,4.01,s,n,8.35
e,2.95,x,n,9.69
p,3.78,s,u,6.02
e,11.98,s,w,26.67
p,1.97,b,n,2.05
p,2.24,f,e,3.29
e,18.54,x,o,34.75
p,7.36,f,p,9.79
p,0.81,x,n,1.11
e,10.15,s,o,18.87
p,3.26,b,g,2.49
p,5.4,x,n,6.37
e,2,x,b,4.3
e,1.5,x,n,1.94
e,22.5,p,n,98
p,3.11,o,w,31.33
e,4.16,f,g,2.7
p,8.81,x,r,16.87
p,2.56,x,w,2.32
p,2.01,b,g,1.91
e,10.48,x,n,18.44
e,4.68,x,n,9.69
p,4.5,x,e,11.87
p,6.52,x,r,13.75
e,6,x,n,6.16
p,2.96,o,w,27.25
p,3.23,o,g,0
p,2.84,o,g,15.23
e,6.28,x,n,6.3
p,6.84,p,n,15.62
p,3.16,f,w,7.11
e,8.69,s,n,19.47
p,7.36,x,w,14.76
e,3.82,s,n,6.24
e,13.95,x,n,17.71
e,5.65,x,y,13.82
e,10.67,x,y,15.41
e,3.46,b,n,2.88
e,5.69,f,n,9.45
e,4.06,x,n,7.33
p,3.8,b,n,4.64
e,6.76,x,y,11.29
p,5.04,b,k,6.75
p,5.51,b,w,10.18
e,9.59,x,n,21.77
p,5.88,x,n,18.8
p,6.92,x,n,7.73
e,2.51,x,b,4.14
p,8.99,s,e,10.28
p,4.14,x,n,6.97
e,3.57,f,g,2.92
p,5.6,b,g,13.36
p,0.78,x,n,1.06
p,8.83,s,n,12.39
p,6.25,x,n,11.86
e,3.02,x,b,4.79
p,21.41,x,w,33.99
e,15.65,x,n,17.29
p,7.31,p,n,13.97
p,8.6,x,n,28.63
e,4.75,x,n,11.22
p,4.38,x,y,6.96
e,4.71,b,g,3.52
p,3.76,b,n,4.7
e,7,s,y,16.02
e,5.67,x,g,4.33
p,3.84,f,y,6.89
e,8.15,x,n,12.77
e,1.67,c,n,1.44
e,10.52,x,n,16.96
e,9.51,f,n,16.05
p,2.88,s,n,5.47
p,10.46,x,r,13.51
p,3.62,x,b,6.02
p,7.33,f,e,19.18
p,8,x,n,19.44
p,11.04,x,n,34.91
p,8.03,o,n,24.53
p,8.59,x,g,19.66
e,2.92,b,w,2.81
p,3.66,f,b,3.61
e,10.07,x,n,18.19
e,7.03,x,y,12.13
p,2.74,x,w,3.61
p,8.54,f,r,12.3
e,17.71,p,n,21.35
p,10.75,x,w,14.73
p,6.03,x,e,17.29
p,2.65,s,w,2.26
e,5.81,f,n,10.47
e,5.27,s,n,7.6
e,14.05,x,e,33.45
e,12.61,x,n,16.2
p,1.35,x,n,2.26
p,4.16,x,w,11.55
e,6.68,x,n,6.96
p,15.35,f,o,18.21
p,6.08,f,e,7.13
p,3.41,o,g,0
p,14.39,x,n,16.88
e,2.59,f,n,3.95
e,8.89,x,n,27.97
p,3.74,b,n,4.64
p,6.27,f,n,9.89
p,8.47,o,y,15.16
p,6.69,s,n,8.02
e,3.17,b,n,2.69
e,8.56,f,o,14.05
p,2.38,x,e,2.41
e,2.95,b,n,3.28
e,9.14,f,n,9.02
e,21.88,p,n,79.5
p,8.38,s,p,15.78
e,7.36,x,w,30.93
e,8.1,f,n,10.89
e,12.39,s,w,24.92
p,8.38,x,w,14.96
p,21.35,f,w,30.67
e,4.21,x,n,9.55
p,8.12,b,w,18.48
p,1.15,x,w,1.85
e,6.35,f,p,17.11
p,4.78,s,u,7.1
p,10,x,n,27.78
e,1.66,x,n,2.12
p,1.4,x,n,2.6
e,7.61,f,w,25.35
p,6.2,f,y,11.74
p,3.17,x,y,7.6
e,9.62,x,y,15.84
p,1.57,p,n,2.36
p,6.86,x,n,6.91
e,17.98,p,n,77
e,8.83,x,e,24.53
p,6.65,x,y,14.09
p,2.95,b,n,4.61
e,7.04,f,e,16.97
p,0.69,x,o,0.91
e,4.54,o,n,44.13
e,7.45,f,n,8.64
e,9.47,x,n,10.21
e,6.47,c,g,19.07
p,3.97,o,n,0
e,8.98,x,n,12.15
p,6.06,f,n,10.04
e,1.68,x,n,2.41
p,8.08,p,n,16.87
p,6.31,x,e,17.46
p,12.31,x,n,31.94
p,6.99,c,y,12.54
e,4.83,x,n,11.58
e,7.05,x,y,16.91
p,1.12,x,y,5.19
e,7.28,x,g,13.46
p,3.77,x,n,3.21
e,12.59,x,n,15.4
p,3.17,b,e,3.37
p,0.71,f,o,0.98
e,4.58,b,n,3.3
p,14.76,f,o,17.54
p,6.38,c,w,11.59
e,4.23,f,n,6.59
e,2.26,b,n,2.52
e,4.47,o,n,49.91
p,5.77,x,e,8.35
p,6.99,x,n,19.33
e,12.22,f,g,15.34
p,0.99,b,n,2.56
p,5.3,x,y,8.33
p,2.2,x,k,2.47
p,4.4,x,l,7.06
p,6.94,x,n,9.33
e,17.51,p,n,75.71
e,6.64,x,y,14.1
p,7.44,f,r,13.13
p,2.41,x,n,2.75
p,3.64,b,p,3.64
p,0.74,x,y,0.8
e,3.2,f,n,6.1
p,7.59,x,n,8.81
e,8.09,f,n,10.16
p,2,b,n,1.91
p,3.5,c,y,6.65
e,3.54,x,n,6.3
p,7.52,x,n,20.65
e,11.27,f,b,20.15
e,4.3,f,n,4.17
p,8.3,x,e,17.82
p,2.68,o,g,13.03
p,7.19,x,e,10.38
p,3.22,b,n,4.54
p,6.13,x,e,7.66
p,10.55,f,r,18.02
e,11.15,s,w,24.53
e,2.29,b,n,2.61
p,6.95,f,y,19.99
e,8.99,f,g,16.21
e,11.9,s,w,24.97
e,7.86,p,n,12.8
e,12.85,f,n,25.53
e,11.17,f,n,25.21
p,5.75,f,n,5.74
p,9.48,s,p,17.7
e,7.06,f,n,10.38
p,8.23,p,n,22.89
p,4.91,f,y,4.89
p,2.19,f,n,3.48
p,3.67,x,y,6.63
p,3.09,s,w,2.54
e,7.96,x,w,28.73
e,3.29,x,u,4.89
p,7.79,x,n,14.44
e,6.42,o,n,53.97
e,1.53,x,n,1.85
p,1.87,x,y,2.79
e,3.05,f,n,5.99
p,10.06,x,y,19.85
e,3.78,b,n,3.1
p,1.18,x,n,2.43
p,6.99,x,n,13.6
e,3.74,b,w,3.09
e,26.04,x,n,83.58
p,2.62,b,p,5.79
p,19.4,s,w,35.53
e,5.36,s,y,11.61
p,4.11,o,y,0
e,9.88,x,n,18.04
p,15.23,s,n,37.25
p,6.41,x,e,10.86
p,7.95,x,y,7.7
p,4.17,o,n,0
e,4.35,x,n,6.51
e,7.53,f,n,14.19
p,7.82,f,e,8.79
e,7.36,f,o,13.08
p,4.45,x,y,7.53
p,7.76,b,w,12.01
e,14.79,p,n,83.88
e,2.67,x,n,9.82
p,13.74,x,e,15.79
p,4.51,x,l,9.02
e,7.58,x,n,10.51
e,3.4,b,w,2.79
p,2.4,x,n,2.46
e,6.4,f,g,10.08
p,1.9,c,u,3.36
p,2.45,p,n,2.65
p,2.87,o,k,14.94
p,21.76,x,e,41.69
